mean self-repetition,mean other-repetition,mean self-repetition no tutor,mean other-repetition no tutor,mean self-repetition per participant,mean other-repetition per participant,mean self-repetition per participant no tutor,mean other-repetition per participant no tutor
0.05839766417669079,0.03735533574781109,0.0500554971000227,0.04072349724507143,0.06708401096833036,0.03371426686004812,0.06682841458036373,0.03378397816665012
0.07106083215857248,0.03160062615468399,0.05900240872780917,0.03405241753283034,0.050161838932835066,0.034289770480113,0.04325065894369252,0.03530495202232696
0.07657249812252163,0.03285410393365856,0.04418934240362812,0.04478201156819469,0.06096051116687088,0.03821537456652972,0.04858303165320708,0.04264472279779541
0.06991597605488664,0.0414288553931052,0.043597215707109296,0.04355767040176356,0.04770868948251577,0.03928694311934844,0.034675288768598496,0.039356618850099515
0.07991382615392152,0.04842391307651804,0.09519426135301737,0.05983617653483567,0.08437635067956412,0.05350211370022756,0.09282841095232537,0.06039635507620746
0.07194922431470097,0.04715641038493273,0.07059862444642184,0.057955360396791014,0.06885756121564138,0.05449044243054355,0.06788584580390755,0.0579134866120766
0.06460841669919315,0.0467808931073618,0.06307705820229015,0.06402683684775708,0.050762963576617005,0.054428248254215106,0.046974386941933864,0.0600251177546881
0.04953799526897714,0.031361556241338094,0.0298069563372013,0.02985402343723878,0.033117370129261234,0.03100762042975641,0.02365051848243665,0.030509480823573135
0.07343399175160577,0.04772288023209197,0.06860285929238207,0.05182847350298417,0.07581958320804218,0.04927456320893245,0.07286258850099313,0.052682228237142054
0.07970515986624727,0.03676835534257295,0.04579292594796731,0.047457134949031164,0.057852041631466476,0.0447972121307607,0.045591945698471956,0.048946711393000324
0.05666885041418841,0.03733993122385203,0.053182274000604775,0.041444065435689834,0.04984347077328214,0.039543860759130904,0.04719711751625606,0.04120134991575003
0.0548904545224631,0.03560589394568977,0.03349810828865608,0.03884328398311672,0.034481735737247145,0.03196873749800203,0.02763251443184892,0.03132383523913663
0.06975518314123152,0.04700934325170869,0.06456863201402514,0.05099710496200166,0.06362196404219071,0.04848042193707938,0.05981394346595901,0.05059714276159277
0.0744776607074261,0.04227994124444761,0.05877320587403892,0.05268166670725644,0.06558414458054398,0.048216757600580466,0.05919725891857662,0.05245862844021881
0.06749701900150616,0.05343064984965033,0.05433292141208822,0.059289825866043845,0.06647701928009822,0.055519189506683976,0.057687243911720476,0.059976259296901625
0.08693233604680191,0.03734195171060707,0.07427429834150079,0.03854949516835201,0.08186029183948551,0.036944803652181175,0.07482619168886297,0.0373221690408659
0.08217784003458906,0.038270957933789984,0.08109583981591835,0.03565415232144208,0.07851396303296228,0.03824126181150591,0.07749825905016912,0.03799263042907728
0.07382825557973874,0.03939811789137627,0.02934149368249323,0.09199067579350181,0.04118942896853518,0.08936654775906441,0.029456812090895127,0.10608257442947841
0.06650192529849863,0.03479027240681887,0.04556366797022675,0.03525969448240156,0.054798819462634686,0.03568078884835511,0.04989809748644159,0.0359476949493848
0.08107528159886486,0.04095399963963278,0.06585088668414943,0.04823679312436767,0.0740460150004704,0.0446539516431966,0.06711960480719306,0.04805164486441141
0.05859524288338786,0.04054382980111049,0.037226321804012946,0.04242168279862374,0.044790090394307244,0.041088073629896985,0.03497417965744742,0.04178344338937018
0.06793081745210727,0.035723075695215795,0.07074577165651699,0.04243004707444703,0.07167053535386217,0.040019644016965256,0.0733323351153321,0.04282564311915733
0.056374869617102044,0.027488439956490567,0.027626626552266335,0.025195179595098493,0.029407444607530808,0.02322357212958847,0.01954865351355933,0.02190871586975445
0.06485759727270204,0.03800851665445001,0.04340737030914286,0.04086019387818052,0.05521575233750564,0.04118415786534915,0.04506332176917689,0.04300731590776476
0.07429172911745391,0.05095478558207459,0.06633939390354635,0.055610059612295294,0.06623542006189251,0.05300003707141052,0.05999555031886293,0.05598511663693352
0.07540475247417627,0.041474496322368354,0.06195984620096787,0.04433633964903077,0.06633562661246337,0.042776723559156536,0.058269865547604924,0.044336527733802686
0.07359406886381202,0.030083250218371247,0.0449803741427771,0.029958560656137573,0.054615971504902674,0.02959649956450235,0.04258863339250883,0.029443075668787018
0.06323316303213215,0.04985655777315808,0.05759860044542656,0.05611808559273988,0.05239188905576438,0.05491558445415917,0.048881324402885735,0.05706963173191447
0.061298241400171156,0.032166465480220355,0.05343453341732481,0.03410026505163746,0.0503343478471737,0.03205520466048367,0.04616612066812669,0.0323783718133594
0.06422182793166095,0.01716749499475106,0.02227631271748919,0.015586790387132114,0.03036076380555423,0.013118845447083383,0.017548203480121795,0.011942856532205956
