mean self-repetition,mean other-repetition,mean self-repetition no tutor,mean other-repetition no tutor,mean self-repetition per participant,mean other-repetition per participant,mean self-repetition per participant no tutor,mean other-repetition per participant no tutor
0.03632957339555165,0.019583911781295718,0.019791132139130158,0.020677304578409467,0.021848919848232156,0.01723369185155075,0.013416838345230749,0.01696426337976618
0.06152154361411549,0.024370913277179596,0.029200592153960023,0.023316360947799517,0.035544897220269434,0.024349131231863712,0.024530486613249948,0.02419620122809245
0.0640736645032624,0.021125479558627668,0.009105981737560684,0.02408932198405881,0.03174907758074819,0.02032040415221176,0.008797829850461429,0.020708593056128547
0.06573588415309575,0.03143977894663881,0.025635217142066454,0.02970167479132022,0.04035147359354545,0.029343869781557213,0.0226060380416441,0.02832580524987304
0.04396039633831283,0.02402916794649502,0.03892736188137379,0.02942079565488424,0.03952621782411136,0.02612455498256449,0.03575419023356177,0.02928042587528205
0.05771055356808033,0.02304258118317599,0.04199735629696719,0.02145629985579119,0.04434612826145856,0.021621130795704834,0.038692140091346035,0.021032277762904693
0.04000648046191966,0.015444833641543913,0.01917795299938157,0.01883073659425684,0.021229823437946473,0.013804702956975695,0.012085119125855298,0.014118153822738112
0.04920360537701224,0.018529223766510495,0.019521200824827535,0.01984024842016447,0.02896995114794033,0.016612732380685634,0.01584566678844825,0.01648986623359191
0.057389457278591925,0.03864698244332388,0.05393049419269467,0.04346987819207258,0.05970286834098064,0.03981175801124622,0.057737085991865486,0.043650286212464036
0.05888223101970042,0.024168701271115957,0.01863348068422064,0.03278350125937162,0.033478699245743135,0.02964953919283166,0.01906101167993096,0.0327463590098898
0.0512518074353241,0.029821957915649927,0.04370467099787816,0.031305806958768036,0.04093182494701038,0.03081556787119365,0.03631706214816956,0.03146402770013594
0.059224645950582126,0.030815153096519277,0.04211027068169925,0.03729601181131791,0.04236145594652266,0.02822211114921197,0.03674798446521568,0.028103120790760362
0.04912174434051689,0.03075086535990046,0.03455727671674373,0.031578983226509934,0.03883186973573184,0.029984196829184274,0.029871721905970962,0.03015572534433683
0.06759860807178993,0.03700636797912388,0.05514571251723972,0.050052956752265,0.06010403746272634,0.04442028776257851,0.05492892947739364,0.04973263077853074
0.047102629292765735,0.03881206588282077,0.031955424921869896,0.04552801524419231,0.04439005639535307,0.040144330563353224,0.033763172709426824,0.044899254662325604
0.07000145445090354,0.027690512894572975,0.047099633513505455,0.03181681505006387,0.058717394991097877,0.028779540810579183,0.0452883490869071,0.030884412544487316
0.055139250604851725,0.03523948537307468,0.026105127934396226,0.02993016777613807,0.04398621731001784,0.0356028094049134,0.03852170217540857,0.03520424737898279
0.06089270049525604,0.02410004511557164,0.014394538979026513,0.048071265747260165,0.024349422394387497,0.044814041838882046,0.011479149075898303,0.051917765865129084
0.05823015813119198,0.030836347461043308,0.03548662771963743,0.032329034814080934,0.04110851554908943,0.032665737282145016,0.03468288179697944,0.03326387850789927
0.064056486043598,0.023349243757763965,0.051812244108117675,0.02899554093931484,0.048562118625726014,0.02532538988646555,0.04053127570870474,0.02773649691440399
0.05030711999046338,0.03399089776064922,0.02519583246790193,0.036795333235462704,0.03479263193843008,0.035389736653918646,0.023434742822796773,0.03657473297770847
0.05091723493171913,0.020795775418472724,0.044311442616614065,0.02355930993757753,0.04764937391278437,0.02014946579717971,0.04512667783585066,0.02070148121806019
0.05570862220005622,0.024919252109161318,0.020910075713097838,0.027841684708927006,0.023638237778767245,0.022032078302612855,0.01184772234279666,0.02162714010963734
0.04624418795353964,0.0240463843638162,0.02541952361164449,0.02940017068288788,0.03762497122070644,0.02750286664837962,0.02795398023860221,0.03029931406978145
0.055794050064469275,0.04079636874200149,0.042623386712866265,0.04774237705053401,0.04939026067542909,0.044910714183565056,0.0407905527579226,0.04963034083346762
0.05944632162173361,0.025724562908874992,0.03987836057838817,0.02924340838947419,0.052893419010187515,0.028467285411505616,0.042815980721182846,0.030670563357529913
0.05243079915936715,0.024944212496253903,0.022943046800914815,0.02825211027151216,0.03411492296980899,0.02703570707418822,0.02203067328338184,0.02840051335656053
0.04629006260966753,0.026496827547412078,0.029854473580175518,0.024164209229409407,0.030017924780604926,0.02516754421644375,0.02361563335381326,0.02450393434037798
0.043631450861099125,0.02039135181106858,0.015261949072432944,0.021226797952164336,0.028453847889194826,0.022207605010610934,0.019510415791132968,0.022813300806831232
0.0567999290039886,0.011122571345247403,0.012398749898749896,0.0067650320598017025,0.022141145427241604,0.006822077689004449,0.008874646656601544,0.005295332556284071
