indices,,_open,_closed
TPL,"['measurement', 'measurement per participant']","['measurement', 'measurement per participant', 'measurement no tutor']",[]
TP,"['measurement', 'measurement per participant', 'measurement no tutor']","['measurement', 'measurement per participant', 'measurement no tutor']",[]
PL,"['measurement', 'measurement per participant', 'measurement no tutor']","['measurement', 'measurement per participant', 'measurement no tutor']",[]
T,"['measurement', 'measurement per participant', 'measurement no tutor']","['measurement', 'measurement per participant', 'measurement no tutor']",[]
P,[],[],['measurement per participant']
L,"['measurement', 'measurement per participant']","['measurement', 'measurement per participant', 'measurement no tutor']",[]
