constantparam,constantpval,speakingparam,speakingpval,selfparam,selfpval,otherparam,otherpval,speaklagparam,speaklagpval,selflagparam,selflagpval,otherlagparam,otherlagpval
0.818851632655144,0.0,0.5078456069730103,2.2599914999836988e-97,0.18468522748464855,0.4604541061557438,4.031996853279987,3.2973011413056225e-10,0.40143960694613096,5.442104965359582e-49,-0.25383254243681297,0.34227370575020066,0.27943167980948846,0.688478403624573
0.9879851534305305,0.0,0.4787117765545071,7.258815671385283e-71,-0.425496825316201,0.18798096909026826,1.073123890203501,0.03943997616070577,0.20414609687989313,4.742176684768052e-12,-0.04733351252647067,0.8959762035936516,0.7224504327647262,0.21277165160756162
1.055496130392923,0.0,0.4748345220566124,2.488767875686354e-98,0.24376054103921838,0.6134431592813991,1.0338582910152452,0.001529096873514897,0.27016064275742546,7.592064547859481e-28,1.7416933765215599,0.0008273159943968614,-0.4053454406856345,0.25772728516348453
1.0100873579979412,0.0,0.41629525954175034,9.006867383507581e-97,0.22405051499841222,0.23931486882712272,0.6804340322354201,0.03738919876191188,0.20938824681090581,4.301956865590172e-21,0.1566423064389092,0.4489989239736911,0.8649430322198954,0.021024657836964257
1.0752812491563608,0.0,0.30291838648982156,1.2813974720116284e-145,0.9161297880736224,1.442001177560955e-17,0.8567032097403664,1.1731395409660648e-07,0.1762029653431229,2.5760613064819456e-40,0.5048255278571734,1.3157936434088812e-05,0.7468650963250189,4.696367469941656e-05
1.0520623467445185,0.0,0.4230714863707309,1.5727479211296056e-32,0.9179512393596428,0.00559398643909938,0.019201205772846563,0.9815653730819698,0.16523150076250248,2.1131071109628438e-05,1.1656198174116432,0.004566925254760183,3.749854637638925,0.0001522494423932307
1.0429799490664766,0.0,0.36626795880341173,2.0342175524585206e-150,0.892826339102273,5.625975124787929e-06,1.1113558384952165,0.00010447027508183644,0.3204056105723261,8.21197614111183e-89,0.6215562074100712,0.00342923329037215,0.3630816743157315,0.3230635547306173
0.9880095367898329,0.0,0.33484870218436513,2.662207785771357e-51,-0.07137857837540076,0.8001150764383248,1.6012616350853879,0.003593040955963253,0.3107806758721689,2.3615676514779827e-34,0.7993525800388595,0.008360965742441029,3.6876974831741753,1.52119460096377e-09
0.9792443435834518,0.0,0.47215615931054816,0.0,0.3841019495338699,5.929185741239847e-08,0.9012127928324367,6.947351065500783e-09,0.3229548166264354,9.979896256792855e-155,-0.14241762956094872,0.059698437612883334,0.2666208463628936,0.11192285767485265
1.0214855882069807,0.0,0.45019250618409234,3.181371976156038e-214,0.28701208768885866,0.007536237902351722,0.9004650864583348,5.447696487528279e-05,0.20314770671492227,2.122491703538722e-38,0.10026212448310665,0.4312293511483729,1.561706968267563,3.3346149285939657e-10
0.8190125145472826,0.0,0.3406596162618847,3.8315812092423753e-25,-1.7441491375180458,2.113968251218728e-08,2.488719387913684,2.681331981355141e-05,0.0438831542704069,0.23667949154242424,-2.737763112563556,3.0127147258573374e-16,1.5551113106815468,0.01635980532203536
0.9611502644817747,0.0,0.36719366996778446,1.5235048987772824e-09,0.603197768038961,0.049950684375778244,3.2402131028802947,0.00016509057586778508,0.3344483028336135,3.567015806338139e-08,-0.322193082956306,0.5916202138191657,-0.15512829634702552,0.8836933829686671
0.994700116770398,0.0,0.4006062850496949,3.625055115498621e-224,1.1136580958876703,1.0256886205197076e-14,1.3209642913966224,1.8582580743276263e-10,0.2706084250004746,3.9392896572179986e-87,0.3375753252269207,0.024663121953256907,0.3795750373357012,0.09295938254931525
0.9277106380253779,0.0,0.6219140811005872,1.0483523342254203e-195,-0.05156171649341148,0.701062022452774,0.555544828602473,0.06437417427184969,0.34689029845780206,6.985258408911992e-54,0.17100488342100467,0.24625083904093323,0.15859436981933564,0.6252003770232559
0.967138717115731,0.0,0.49202053877470403,2.153442767204726e-173,0.41877593527886947,0.005245248647459176,1.12580924970487,8.686190297870334e-07,0.31396841984466944,1.0828504925513588e-59,0.15996248928658552,0.31522447490420435,0.24727919230526155,0.33814810136478923
1.0500148337654127,0.0,0.42089578644130243,1.9325529127241736e-196,0.5028535483547066,1.0060469850049995e-05,0.48435093187394473,0.04381968608321384,0.24659516029929085,2.3997116931754323e-60,0.2820922081013343,0.020474259771597968,0.9171572832734713,0.0004338771579517497
1.000372471014637,0.0,0.3337163473845987,2.5863357495485277e-63,-0.07300817827790329,0.7462479419592947,1.8543015188466574,4.6248776462739136e-08,0.26127122681934734,8.132525140616965e-31,0.6268403107453264,0.012588161749771171,2.25890751254854,1.677219542592604e-09
0.9951175156088835,0.0,0.3102390708911741,1.482782027253833e-83,0.5934866863676195,0.007236084103267606,0.3333559134549495,0.017616661944095047,0.14251682691833145,9.741662789714216e-15,-0.37979183278437634,0.11680021684042625,0.07195821394692803,0.645057759239567
1.0369131485716012,0.0,0.39024293887714545,8.430076696799065e-140,0.3625089484013654,0.011310586721771968,0.29652418868118313,0.21810589631484464,0.26108901482510244,6.616290362665768e-51,0.7764710633139803,7.157475534793849e-07,1.3960798086814004,1.2586935021371472e-07
1.0383606300086425,0.0,0.3369849047710899,4.922336045247289e-92,0.16712899956830912,0.12238799077937722,1.0245076267651045,0.000611692877488814,0.31852080190881576,7.397453585895653e-62,0.13067392537108247,0.2639888084945952,0.9587158525464301,0.003331954786378931
1.0191972554301634,0.0,0.31106433416972357,6.3429576878376126e-130,0.12390628622375646,0.4043181155147677,1.2615652996839657,4.176026430058402e-14,0.21296387727162375,8.197705880343531e-50,-0.5323779627628421,0.0013399848943530795,1.204288404056446,3.846279883105617e-11
