P128,P140,P142,P151
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0978259473684212
0.0,0.0,0.0,0.410182947368421
0.0,0.0,0.0,0.478261
0.0,0.0,0.0,0.478261
0.0,0.0,0.0,0.480549315789474
0.0,0.0,0.0,0.516304315789474
0.0,0.0,0.0,0.595537736842106
0.00326085,0.0,0.359267789473684,0.764874
0.42309785,0.0,0.554348,0.771739
0.527174,0.0,0.554348,0.834382368421053
0.527174,0.0,0.554348,0.902174
0.527174,0.0,0.554348,0.902174
0.527174,0.0,0.554348,0.902174
0.527174,0.0,0.554348,0.902174
0.527174,0.0,0.565789421052632,0.902174
0.527174,0.0,0.586956,0.902174
0.527174,0.0,0.586956,0.902174
0.527174,0.0,0.586956,0.902174
0.527174,0.0,0.586956,0.902174
0.56494565,0.0,0.586956,0.902174
0.6896741,0.0,0.586956,0.902174
0.36141315,0.0,0.586956,0.902174
0.754004473684211,0.0,0.586956,0.900457736842106
0.793478,0.0,0.586956,0.728832789473685
0.793478,0.0,0.586956,0.636728000000001
0.793478,0.0,0.586956,0.59728295
0.793478,0.1005435,0.586956,0.217995055555556
0.793478,0.86195635,0.586956,0.03233685
0.793478,0.940217,0.586956,-0.0996377222222222
0.793478,0.940217,0.586956,-0.173913
0.793478,0.93858665,0.586956,-0.182494578947368
0.793478,0.94266275,0.586956,-0.219965894736842
0.793478,0.945651999999999,0.586956,0.32798915
0.793478,0.945651999999999,0.586956,0.558574888888889
0.793478,0.945651999999999,0.586956,0.855263210526316
0.793478,0.945651999999999,0.5948365,0.913043
0.86902165,0.945651999999999,0.733409947368421,0.913043
0.987986157894737,0.945651999999999,0.733696,0.84782595
0.967391000000001,0.945651999999999,0.733696,0.511156
0.967391000000001,0.945651999999999,0.733696,0.51087
0.967391000000001,0.945651999999999,0.733696,0.51087
0.967391000000001,0.945651999999999,0.733696,0.601544947368421
0.967391000000001,0.945651999999999,0.733696,0.944507842105263
0.967391000000001,0.945651999999999,0.733696,0.933638263157894
0.967391000000001,0.945651999999999,0.733696,0.750858105263158
0.967391000000001,0.945651999999999,0.733696,0.193363947368421
0.967391000000001,0.945651999999999,0.733696,0.154176473684211
0.967391000000001,0.945651999999999,0.822011,0.47625852631579
0.967391000000001,0.945651999999999,0.896739,0.668478
1.591576,0.945651999999999,0.896739,0.668478
1.04510865,0.945651999999999,0.896739,0.668478
1.0,0.945651999999999,0.944794105263158,0.668478
1.0,0.945651999999999,0.981979684210527,0.668478
1.0,0.945651999999999,0.983696,0.668478
1.0,0.945651999999999,0.983696,0.668478
1.0,0.945651999999999,0.983696,0.668478
1.0,0.945651999999999,0.983696,0.688500947368421
1.0,0.945651999999999,0.983696,0.947082421052632
1.0,0.945651999999999,0.983696,1.027174
1.6744565,0.945651999999999,0.983696,1.027174
1.38315225,0.945651999999999,0.983696,1.027174
1.06874975,0.945651999999999,0.983696,1.00514878947368
1.05778026315789,0.945651999999999,1.06950815789474,0.972826000000001
1.048913,1.81114125,1.20337515789474,0.972826000000001
1.048913,1.9872283,1.05205936842105,0.972826000000001
1.048913,1.9472828,1.01487426315789,0.972826000000001
1.048913,1.21739131578947,0.995995263157895,0.972826000000001
1.048913,1.054348,0.994565,0.972826000000001
1.048913,1.054348,1.00972515789474,0.972826000000001
1.048913,1.054348,1.016304,0.972826000000001
1.048913,1.054348,1.016304,1.32551484210526
1.048913,1.054348,1.016304,1.97168184210526
1.048913,1.054348,1.016304,1.485984
1.048913,1.054348,1.016304,0.8975542
1.048913,1.054348,1.016304,0.881038611111111
1.048913,1.054348,1.016304,0.837528105263158
1.048913,1.054348,1.016304,0.899885210526316
1.048913,1.054348,1.03461068421053,1.01830673684211
1.048913,1.054348,1.95280321052632,0.978261
1.048913,1.054348,1.96624710526316,0.978261
1.048913,1.054348,1.0970107,0.978261
1.048913,1.054348,0.994565,0.978261
1.048913,1.054348,0.994565,0.978261
1.048913,1.054348,0.994565,0.978261
1.07751715789474,1.054348,1.71996557894737,0.978261
1.12146745,1.054348,2.0,0.978261
1.054348,1.054348,2.0,0.978261
1.054348,1.054348,1.31149889473684,0.978261
1.054348,1.054348,1.027174,0.978261
1.054348,1.054348,1.027174,0.978261
1.054348,1.054348,1.027174,0.978261
1.13967405,1.054348,1.027174,1.00286042105263
1.64456505,1.054348,1.027174,1.10898142105263
1.61793465,1.054348,1.027174,1.152174
1.5640732631579,1.17907625,1.027174,1.152174
1.05516295,2.0,1.027174,1.12643010526316
1.054348,1.9918478,1.027174,1.119565
1.054348,1.4168478,1.027174,1.119565
1.054348,1.032609,1.027174,1.119565
1.054348,1.032609,1.027174,1.119565
1.054348,1.032609,1.2445652631579,1.119565
1.054348,1.032609,1.80434778947368,1.119565
1.054348,1.032609,1.05326105,1.119565
1.054348,1.032609,1.032609,1.119565
1.45135875,1.032609,1.032609,1.119565
2.0,1.59538055,1.032609,1.119565
2.0,1.133152,1.032609,1.119565
2.0,1.021739,1.032609,1.119565
1.5057064,1.021739,1.032609,1.119565
1.04119,1.021739,1.39874152631579,1.119565
1.032609,1.021739,1.74429375,1.119565
1.032609,1.2937501,1.85983989473684,1.119565
1.032609,1.4396737,2.0,1.119565
1.032609,1.440217,1.16247121052632,1.119565
1.032609,1.16330219047619,1.47768868421053,1.119565
1.032609,0.983696,1.5,1.119565
1.7472826,0.983696,1.186499,1.119565
2.0,0.983696,1.01087,1.119565
2.0,0.983696,1.01087,1.119565
1.4497284,0.983696,1.01087,1.1239128
1.032609,0.983696,1.01087,1.141304
1.032609,0.983696,1.01087,1.141304
1.032609,0.983696,1.01087,1.138158
1.032609,0.983696,1.01087,1.13587
1.032609,0.983696,1.01087,1.13587
1.032609,0.983696,1.01087,1.13587
1.032609,0.983696,1.01087,1.13587
1.032609,0.983696,1.01087,1.13587
1.032609,0.983696,1.01087,1.11241431578947
1.032609,0.983696,1.01087,1.103261
1.032609,0.983696,1.01087,1.103261
1.032609,0.9970111,1.01087,1.103261
1.032609,1.05835252631579,1.01087,1.103261
1.032609,1.1937502,1.01087,1.103261
1.032609,1.17010875,1.01087,1.103261
1.80353265,1.0959237,1.01087,1.103261
2.0,1.0883862631579,1.01087,1.103261
1.89959963157895,1.086956,1.30148768421053,1.11270021052632
1.14429325,1.086956,1.96967968421053,1.12099526315789
1.016304,1.086956,1.15446210526316,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.016304,1.086956,1.016304,1.11413
1.10760845,1.086956,1.016304,1.11413
1.92282585,1.086956,1.016304,1.11298589473684
1.99656736842105,1.086956,1.016304,1.09296310526316
2.0,1.086956,1.016304,1.08152152631579
2.0,1.086956,1.016304,1.070652
2.0,1.086956,1.016304,1.070652
2.0,1.086956,1.016304,1.070652
2.0,1.086956,1.016304,1.070652
2.0,1.086956,1.016304,1.070652
2.0,1.086956,1.016304,1.165489
2.0,1.086956,1.016304,1.17162457894737
2.0,1.086956,1.016304,1.19336394736842
2.0,1.086956,1.016304,1.201087
2.0,1.086956,1.016304,1.152174
2.0,1.086956,1.016304,1.152174
2.0,1.086956,1.016304,1.1762012631579
1.98369557894737,1.086956,1.016304,1.20337489473684
1.9872282,1.086956,1.016304,1.168478
2.0,1.5013584,1.016304,1.168478
2.0,1.76875005,1.016304,1.168478
2.0,1.0652172,1.016304,1.168478
1.99284894736842,1.043478,1.016304,1.168478
1.7885869,1.043478,1.62070926315789,1.168478
1.4804348,1.043478,2.0,1.17191063157895
1.3502716,1.043478,2.0,1.1951085
1.15589247368421,1.043478,2.0,1.195652
1.00978255,1.043478,2.0,1.195652
1.081522,1.043478,2.0,1.20337542105263
1.081522,1.043478,2.0,1.206522
1.081522,1.043478,2.0,1.206522
1.081522,1.043478,2.0,1.206522
1.081522,1.043478,2.0,1.206522
1.081522,1.043478,2.0,1.206522
1.081522,1.043478,2.0,1.5989702631579
1.081522,1.043478,2.0,1.86440215
1.081522,1.043478,2.0,1.21105066666667
1.081522,1.043478,1.90045763157895,1.9722826
1.081522,1.043478,1.02946231578947,2.0
1.081522,1.043478,1.065217,2.0
1.081522,1.043478,1.43993115789474,1.82551489473684
1.081522,1.043478,2.0,1.13979455555556
1.081522,1.043478,2.0,1.070652
1.081522,1.043478,2.0,1.070652
1.081522,1.043478,2.0,1.070652
1.081522,1.043478,2.0,1.070652
1.081522,1.043478,2.0,1.070652
1.081522,1.043478,2.0,1.070652
1.081522,1.043478,2.0,1.070652
1.07679608695652,1.043478,2.0,1.070652
1.081522,1.043478,1.64731115789474,1.070652
1.5187501,1.043478,1.02002278947368,1.36384426315789
2.0,1.043478,1.043478,1.98827231578947
2.0,1.043478,1.043478,1.20709368421053
2.0,1.043478,1.043478,1.038043
1.94908478947368,1.0309785,1.043478,1.038043
1.98369565,1.01087,1.043478,1.07465689473684
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.081522
2.0,1.01087,1.043478,1.08031422222222
2.0,1.01087,1.043478,1.065217
2.0,1.01087,1.043478,1.065217
2.0,1.01087,1.043478,1.065217
1.56576085,1.01087,1.77059489473684,1.065217
1.0426627,1.01087,2.0,1.065217
1.038043,1.03718578947368,2.0,1.065217
1.038043,1.9497282,2.0,1.065217
1.038043,2.0,2.0,1.065217
1.038043,1.87717395,2.0,1.065217
1.038043,1.13224633333333,2.0,1.065217
1.038043,1.021739,2.0,1.065217
1.038043,1.5597825,1.54204805263158,1.12242542105263
1.038043,2.0,1.06178505263158,1.168478
1.038043,2.0,1.054348,1.168478
1.038043,1.9777174,1.054348,1.168478
1.038043,1.16475963157895,1.054348,1.168478
1.038043,1.021739,1.054348,1.168478
1.038043,1.021739,1.054348,1.168478
1.038043,1.021739,1.054348,1.168478
1.038043,1.021739,1.054348,1.168478
1.038043,1.021739,1.054348,1.168478
1.038043,1.021739,1.054348,1.19429335
1.038043,1.021739,1.054348,1.086956
1.038043,1.021739,1.054348,1.086956
1.038043,1.021739,1.054348,1.086956
1.038043,1.021739,1.054348,1.086956
1.038043,1.021739,1.054348,1.12771711111111
1.038043,1.021739,1.054348,1.22168184210526
1.038043,1.021739,1.054348,1.22201075
1.038043,1.021739,1.054348,1.17542283333333
1.038043,1.021739,1.054348,1.14266275
1.038043,1.021739,1.054348,1.14016
1.038043,1.021739,1.054348,1.13587
1.038043,1.021739,1.054348,1.13587
1.038043,1.021739,1.054348,1.13587
1.038043,1.021739,1.054348,1.13587
1.038043,1.021739,1.054348,1.13587
1.038043,1.021739,1.054348,1.13587
1.038043,1.021739,1.054348,1.13587
1.038043,1.021739,1.054348,1.13587
1.62581515,1.07445635,1.06807778947368,1.13587
2.0,1.34266305,1.092391,1.13587
2.0,1.45509178947368,1.084096,1.13587
1.917663,1.0309785,1.076087,1.13587
1.12418465,1.032609,1.076087,1.13587
1.054348,1.032609,1.076087,1.13587
1.054348,1.032609,1.076087,1.13587
1.054348,1.032609,1.076087,1.3873
1.054348,1.032609,1.076087,2.0
1.054348,1.032609,1.076087,2.0
1.054348,1.032609,1.076087,1.43535457894737
1.054348,1.032609,1.076087,1.070652
1.054348,1.032609,1.076087,1.070652
1.5304348,1.032609,1.076087,1.070652
2.0,1.032609,1.076087,1.070652
1.4323369,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.070652
1.081522,1.032609,1.076087,1.08152165
1.081522,1.032609,1.076087,1.76328505555556
1.081522,1.032609,1.076087,1.94536615789474
1.081522,1.032609,1.23827231578947,1.69736842105263
1.081522,1.032609,2.0,1.07637305263158
1.081522,1.10815235,2.0,1.076087
1.081522,1.97255435,2.0,1.44450789473684
1.081522,2.0,1.4847825,1.47711673684211
1.081522,2.0,1.07850244444445,1.07208221052632
1.081522,2.0,1.2239131,1.065217
1.081522,2.0,2.0,1.065217
1.081522,1.6934782,1.96796342105263,1.065217
1.081522,1.051487,1.18106410526316,1.065217
1.081522,1.038043,1.60669342105263,1.065217
1.081522,1.038043,2.0,1.065217
1.081522,1.038043,1.94538045,1.065217
1.081522,1.038043,1.34897015789474,1.078375
1.13342415,1.038043,1.18249457894737,1.11413
1.7307065,1.038043,1.179348,1.11413
0.99538055,1.038043,1.179348,1.11413
1.01087,1.038043,1.179348,1.3060637368421
1.01087,1.038043,1.179348,2.0
1.01087,1.038043,1.179348,2.0
1.01087,1.038043,1.179348,1.39044636842105
1.01087,1.038043,1.179348,1.13072105263158
1.01087,1.42771715,1.179348,1.11413
1.01087,2.0,1.179348,1.11413
1.01087,2.0,1.179348,1.11413
1.01087,2.0,1.179348,1.11413
1.01087,1.3214673,1.179348,1.11413
1.01087,1.016304,1.179348,1.11413
1.01087,1.016304,1.179348,1.11413
1.01087,1.016304,1.179348,1.11413
1.12065245,1.016304,1.179348,1.11413
1.9752717,1.016304,1.179348,1.11413
1.98097825,1.016304,1.179348,1.11413
2.0,1.016304,1.179348,1.11413
2.0,1.016304,1.179348,1.07294031578947
1.9991848,1.016304,1.179348,1.005435
1.2019022,1.016304,1.19393610526316,1.005435
1.12228295,1.016304,1.98233695,1.005435
1.98083521052632,1.016304,2.0,1.005435
2.0,1.016304,1.91195645,1.005435
2.0,1.016304,1.96024031578947,1.005435
1.9923913,1.016304,2.0,1.06550352631579
1.9885869,1.016304,1.68850105263158,1.31035452631579
1.91733410526316,1.016304,1.12900447368421,1.05148742105263
1.1434781,1.016304,1.119565,0.967391000000001
1.0,1.016304,1.119565,0.967391000000001
1.0,1.016304,1.119565,0.967391000000001
1.0,1.016304,1.119565,0.967391000000001
1.0,1.01916442105263,1.119565,0.967391000000001
1.0,1.13749985,1.119565,1.26945089473684
1.0,0.9888583,1.119565,1.483696
1.0,0.98913,1.119565,1.84329716666667
1.0,0.98913,1.119565,1.16504568421053
1.0,0.98913,1.119565,1.09324915789474
1.0,0.98913,1.119565,1.09038863157895
1.0,0.98913,1.119565,1.09211925
1.0,0.98913,1.119565,1.092391
1.0,0.98913,1.119565,1.1165758
1.0,0.98913,1.119565,1.08524031578947
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.98913,1.119565,1.01087
1.0,0.9733692,1.14101810526316,1.01087
1.0,0.891304,1.80148742105263,1.01087
1.06874975,0.891304,2.0,1.01087
1.05489145,0.891304,2.0,1.17276915789474
1.04691063157895,1.1051629,2.0,1.7940217
1.038043,1.34266275,1.67620142105263,1.27316942105263
1.038043,1.3701085,1.17173915,1.44364984210526
1.038043,1.53885845,1.103261,1.146739
1.038043,1.543478,1.103261,1.25915326315789
