P076,P164,P170,P174
0.0,0.0,0.0,0.0
0.0,0.0040045263157895,0.0735125789473685,0.0
0.0,0.308352368421053,0.25815205,0.0
0.0,0.459667736842106,0.47826085,0.0203089473684211
0.1057065,0.461956000000001,0.505435,0.417572388888889
0.5182063,0.461956000000001,0.505435,0.890732315789474
0.565217,0.461956000000001,0.505435,0.902174
0.565217,0.461956000000001,0.505435,0.666189894736842
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.597826
0.565217,0.461956000000001,0.505435,0.793478315789474
0.565217,0.461956000000001,0.505435,0.922196789473685
0.565217,0.615274368421053,0.505435,0.929348000000001
0.565217,0.921910684210526,0.505435,0.929348000000001
0.565217,0.923912999999999,0.505435,0.929348000000001
0.565217,0.923912999999999,0.505435,0.929348000000001
0.565217,0.923912999999999,0.80760875,0.929348000000001
0.565217,0.923912999999999,0.9521742,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.929348000000001
0.565217,0.923912999999999,0.934783,0.99656752631579
0.565217,0.923912999999999,0.934783,1.81006868421053
0.57717365,0.923912999999999,1.69221978947368,1.25664238888889
0.713043150000001,1.44136152631579,1.9817935,1.05921047368421
0.708809789473685,2.0,1.10135885,1.054348
0.668478,1.2535326,0.983696,1.054348
0.668478,0.957125388888889,0.983696,1.054348
0.616575900000001,0.967391000000001,0.983696,1.054348
0.576087,0.967391000000001,0.9850545,1.054348
0.576087,0.967391000000001,0.98913,1.054348
0.576087,1.34467942105263,1.13396705,1.054348
0.576087,1.28918747368421,1.99799768421053,1.14702510526316
0.576087,0.996853315789474,1.69456525,1.02831810526316
0.576087,1.016304,0.961956,1.027174
0.576087,1.016304,0.961956,1.027174
0.65706515,1.016304,0.961956,1.027174
0.8331521,1.016304,0.961956,1.027174
1.65597825,1.016304,0.961956,1.027174
2.0,1.016304,0.961956,1.027174
1.79347825,1.016304,0.961956,1.027174
1.03396725,1.016304,0.961956,1.027174
