P167,P169,P173,P210
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0108695555555556,0.0,0.0104036857142857,0.0
0.380434842105263,0.244851263157895,0.1922102,0.0
0.527174,0.478261,0.4826086,0.0
0.527174,0.478261,0.521739,0.0
0.575229052631579,0.478261,0.521739,0.0
0.666476,0.478261,0.521739,0.15706515
0.865274736842105,0.478261,0.521739,0.528032263157895
0.868421263157895,0.478261,0.521739,0.559783
0.528318157894737,0.478261,0.578661105263158,0.559783
0.546910894736842,0.478261,0.592391,0.559783
0.578375368421053,0.478261,0.592391,0.559783
0.663043,0.478261,0.592391,0.559783
0.663043,0.478261,0.592391,0.560355052631579
0.663043,0.478261,0.592391,0.644736842105263
0.668191789473684,0.478261,0.592391,0.652174
0.810068368421053,0.478261,0.592391,0.91195655
0.936212368421053,0.478261,0.592391,1.04290631578947
0.961956,0.478261,0.592391,1.027174
0.961956,0.535469157894737,0.592391,1.027174
0.961956,0.714817105263158,0.592391,1.027174
0.961956,0.840674736842106,0.592391,1.027174
1.05615938888889,0.842391000000001,0.592391,1.027174
1.05652175,0.842391000000001,0.66304325,1.027174
1.038043,0.842391000000001,0.879576947368421,1.027174
1.038043,0.842391000000001,0.794837100000001,1.027174
1.038043,0.842391000000001,0.782609000000001,1.02631589473684
1.038043,0.842391000000001,0.782609000000001,0.889874263157895
1.038043,0.842391000000001,0.782609000000001,0.761441842105263
1.038043,0.842391000000001,0.87700252631579,0.653032105263158
1.038043,0.842391000000001,0.914674100000001,0.652174
1.038043,0.842391000000001,0.940217,0.652174
1.038043,0.842391000000001,0.940217,0.652174
1.038043,0.842391000000001,0.940217,0.652174
1.038043,0.842391000000001,0.940217,0.652174
1.038043,0.842391000000001,0.940217,0.652174
1.038043,0.842391000000001,0.940217,0.652174
1.038043,0.842391000000001,0.940217,0.652174
1.038043,0.842391000000001,0.940217,0.714817157894737
1.038043,1.00150983333333,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.038043,1.032609,0.940217,0.733696
1.41647578947368,1.032609,0.940217,0.733696
1.99856978947368,1.032609,0.940217,0.733696
2.0,1.032609,0.940217,0.733696
1.97969105263158,1.032609,0.940217,0.733696
1.20509163157895,1.032609,0.940217,0.733696
1.032609,1.15188810526316,0.940217,0.733696
1.032609,1.95766589473684,0.940217,1.06464557894737
1.032609,1.01687657894737,0.940217,1.95594963157895
1.032609,1.79061773684211,1.2190215,2.0
1.032609,1.01720983333333,1.64266305,2.0
1.032609,1.016304,1.02880435,2.0
1.032609,1.016304,0.99375005,2.0
1.032609,1.89330668421053,0.975972578947369,1.48483973684211
1.032609,1.72654463157895,0.972826000000001,1.05520563157895
1.032609,1.05463347368421,0.972826000000001,1.76973678947368
1.032609,1.038043,0.972826000000001,2.0
1.032609,1.038043,0.972826000000001,2.0
1.032609,1.038043,0.972826000000001,2.0
1.032609,1.038043,0.972826000000001,2.0
1.032609,1.038043,0.972826000000001,1.38701368421053
1.032609,1.037471,0.972826000000001,1.01287157894737
1.032609,1.032609,0.972826000000001,1.016304
1.24199105263158,1.032609,0.972826000000001,1.016304
1.47540036842105,1.032609,0.972826000000001,1.016304
1.06550305263158,1.032609,0.972826000000001,1.016304
1.065217,1.032609,0.972826000000001,1.016304
1.065217,1.08524042105263,0.972826000000001,1.016304
1.065217,1.21044666666667,1.07499995,1.016304
1.065217,1.06979410526316,1.98998857894737,1.016304
1.065217,1.059783,1.8467391,1.016304
1.065217,1.059783,1.26358685,1.016304
1.065217,1.059783,1.0336956,1.016304
1.065217,1.059783,1.027174,1.016304
1.065217,1.059783,1.027174,1.016304
1.065217,1.059783,1.027174,1.56807773684211
1.065217,1.059783,1.027174,2.0
1.065217,1.059783,1.027174,2.0
1.065217,1.059783,1.027174,2.0
1.065217,1.059783,1.027174,2.0
1.065217,1.059783,1.027174,2.0
1.065217,1.059783,1.027174,1.44536605263158
1.065217,1.059783,1.027174,1.02259710526316
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.027174,1.021739
1.065217,1.059783,1.01659042105263,1.021739
1.065217,1.059783,0.972826000000001,1.021739
1.065217,1.059783,0.972826000000001,1.021739
1.065217,1.059783,0.972826000000001,1.07751705263158
1.065217,1.059783,0.972826000000001,1.93907315789474
1.065217,1.059783,0.972826000000001,2.0
1.05892421052632,1.059783,0.972826000000001,1.91332957894737
1.032609,1.059783,0.972826000000001,1.2097825
1.032609,1.059783,0.972826000000001,1.01315757894737
1.032609,1.059783,0.972826000000001,1.021739
1.032609,1.059783,0.972826000000001,1.021739
1.11813521052632,1.059783,0.972826000000001,1.021739
1.96167047368421,1.059783,1.62663045,1.021739
2.0,1.059783,2.0,1.021739
1.97735505555556,1.059783,1.79972835,1.021739
1.1652172,1.059783,1.13043494736842,1.021739
1.00457684210526,1.059783,1.0660326,1.021739
1.005435,1.059783,1.20298915,1.021739
1.005435,1.540904,1.2630437,1.021739
1.005435,2.0,1.1296196,1.021739
1.005435,1.96710526315789,1.58810073684211,1.021739
1.005435,1.17481894444444,2.0,1.021739
1.005435,1.054348,2.0,1.021739
1.005435,1.054348,2.0,1.021739
1.005435,1.054348,2.0,1.021739
1.005435,1.054348,2.0,1.021739
1.005435,1.054348,2.0,1.021739
1.005435,1.054348,1.92527175,1.021739
1.005435,1.054348,1.3586955,1.021739
1.005435,1.054348,1.04918475,1.021739
1.005435,1.054348,1.048913,1.021739
1.005435,1.054348,1.048913,1.021739
1.005435,1.054348,1.048913,1.021739
1.005435,1.054348,1.048913,1.02374131578947
1.005435,1.054348,1.048913,1.038043
1.005435,1.054348,1.048913,1.038043
1.005435,1.054348,1.048913,0.945651894736842
1.005435,1.054348,1.048913,0.73668485
1.86352655555556,1.054348,1.048913,1.005435
2.0,1.054348,1.048913,1.005435
1.96769327777778,1.054348,1.048913,1.005435
1.26916478947368,1.49084678947368,1.048913,1.005435
1.032609,1.98941647368421,1.048913,1.005435
1.0725543,1.70451936842105,1.048913,1.005435
1.258581,2.0,1.048913,1.005435
1.52445644444444,2.0,1.048913,1.005435
1.03661331578947,2.0,1.048913,1.005435
1.05291763157895,2.0,1.048913,1.005435
1.0875282631579,2.0,1.048913,1.005435
1.163043,2.0,1.048913,1.005435
1.163043,2.0,1.048913,1.005435
1.57580073684211,2.0,1.048913,1.005435
2.0,1.89959952631579,1.048913,1.005435
2.0,1.10469126315789,1.048913,1.005435
2.0,1.27445672222222,1.048913,1.005435
2.0,1.54619565,1.048913,1.005435
2.0,1.01902144444444,1.048913,1.005435
2.0,1.63443926315789,1.048913,1.005435
1.92734557894737,2.0,1.048913,1.005435
1.15760878947368,1.5368992631579,1.048913,1.005435
1.097826,1.021739,1.048913,1.005435
1.097826,1.021739,1.048913,1.005435
1.097826,1.021739,1.048913,1.005435
1.097826,1.021739,1.048913,1.005435
1.65846678947368,1.021739,1.048913,1.005435
2.0,1.021739,1.048913,1.005435
2.0,1.021739,1.048913,1.005435
2.0,1.021739,1.048913,1.005435
2.0,1.021739,1.048913,1.0123
1.64100233333333,1.021739,1.048913,1.78403894736842
1.0877719,1.021739,1.048913,2.0
1.081522,1.021739,1.048913,2.0
1.081522,1.021739,1.048913,2.0
1.081522,1.021739,1.208913,1.48855836842105
1.081522,1.021739,1.78461955,1.0666472631579
1.081522,1.021739,2.0,1.065217
1.081522,1.021739,2.0,1.065217
1.081522,1.021739,2.0,1.61727678947368
1.081522,1.021739,2.0,1.68559785
1.081522,1.021739,1.36331525,1.09096063157895
1.081522,1.021739,1.038043,1.086956
1.081522,1.021739,1.038043,1.26590336842105
1.081522,1.56435921052632,1.7741847,1.80228815789474
1.081522,2.0,2.0,1.79719647368421
1.081522,1.375858,1.73586945,1.06578926315789
1.081522,1.043478,1.04061805263158,1.092391
