Time at Media End,07/02/2022 22:16
Multimedia File,S26_P076_Zoe_all.mp4
Lower Label,Negative Affect
Upper Label,Positive Affect
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
437,0.983696
438,0.97527195
439,0.956522
440,0.956522
441,0.956522
442,0.956522
443,0.956522
444,0.956522
445,0.956522
446,0.956522
447,0.956522
448,0.956522
449,0.956522
450,0.956522
451,0.956522
452,0.956522
453,0.956522
454,0.956522
455,0.956522
456,0.956522
457,0.956522
458,0.956522
459,0.956522
460,0.956522
461,0.956522
462,0.956522
463,0.956522
464,0.956522
465,0.956522
466,0.956522
467,0.956522
468,0.956522
469,0.956522
470,0.956522
471,1.04483715
472,2
473,1.8176631
474,1.0152173
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0.99483675
489,0.994565
490,0.994565
491,0.997425526
492,1.01494545
493,1.016304
494,1.016304
495,1.016304
496,1.016304
497,1.016304
498,1.016304
499,1.016304
500,1.016304
501,1.016304
502,0.8540761
503,0.826087
504,0.826087
505,0.826087
506,0.9404892
507,1.09374975
508,1.092391
509,1.15217415
510,1.483695789
511,1.93260865
512,1.07038055
513,0.9951085
514,0.994565
515,0.994565
516,0.994565
517,0.98260875
518,0.978261
519,0.978261
520,0.978261
521,0.978261
522,0.978261
523,0.99918495
524,1.005435
525,1.005435
526,1.24048925
527,1.82065215
528,0.99565195
529,0.967391
530,0.967391
531,0.967391
532,0.967391
533,0.967391
534,0.967391
535,0.967391
536,0.967391
537,0.967391
538,0.967391
539,0.967391
540,0.967391
541,0.967391
542,0.967391
543,0.967391
544,0.967391
545,0.967391
546,0.967391
547,0.9532607
548,0.945652
549,0.945652
550,0.945652
551,0.945652
552,0.9461955
553,0.956521526
554,0.961956
555,0.961956
556,0.961956
557,0.961956
558,0.961956
559,0.961956
560,0.961956
561,0.961956
562,0.961956
563,0.961956
564,0.961956
565,0.961956
566,0.961956
567,0.961956
568,0.961956
569,0.9663039
570,0.970652
571,0.945652
572,0.945652
573,0.945652
574,0.9970108
575,1.06684805
576,1.005435
577,1.005435
578,1.005435
579,1.005435
580,1.005435
581,1.005435
582,1.005435
583,1.005435
584,1.005435
585,0.866977286
586,0.806922474
587,1.650171684
588,1.78885865
589,0.9182065
590,0.896739
591,0.896739
592,0.896739
593,0.896739
594,0.896739
595,0.896739
596,0.896739
597,0.896739
598,0.896739
599,0.896739
600,0.896739
601,0.896739
602,0.896739
603,0.896739
604,0.896739
605,0.896739
606,0.896739
607,0.896739
608,0.896739
609,0.896739
610,0.896739
611,0.896739
612,0.896739
613,0.896739
614,0.896739
615,0.896739
616,0.896739
617,0.896739
618,0.896739
619,0.896739
620,0.896739
621,0.896739
622,0.896739
623,0.896739
624,0.896739
625,0.896739
626,1.392448421
627,2
628,1.5201087
629,0.9972825
630,0.983696
631,0.983696
632,0.983696
633,0.983696
634,0.983696
635,0.983696
636,0.983696
637,0.983696
638,0.983696
639,0.983696
640,0.983696
641,0.983696
642,0.983696
643,0.983696
644,1.2394024
645,1.161899053
646,0.967391
647,0.967391
648,0.967391
649,0.967391
650,0.967391
651,0.967391
652,0.967391
653,0.967391
654,0.967391
655,0.967391
656,0.967391
657,0.967391
658,0.967391
659,0.967391
660,0.967391
661,0.967391
662,0.9782606
663,1.0809785
664,1.081522
665,1.606979526
666,2
667,1.30923905
668,0.972826
669,0.972826
670,0.972826
671,0.972826
672,0.972826
673,0.972826
674,0.972826
675,0.972826
676,0.972826
677,0.9823367
678,0.98913
679,0.98913
680,0.98913
681,0.98913
682,0.98913
683,0.98913
684,0.98913
685,0.98913
686,0.98913
687,0.98913
688,0.98913
689,0.98913
690,0.98913
691,0.98913
692,0.98913
693,0.98913
694,0.98913
695,0.98913
696,0.98913
697,1.03423875
698,1.97309775
699,1.39945645
700,1.065217
701,1.03478255
702,0.961956
703,0.961956
704,0.961956
705,0.961956
706,0.961956
707,0.961956
708,0.961956
709,0.961956
710,0.961956
711,0.823913
712,0.76087
713,0.76087
714,0.8600543
715,0.972826
716,0.972826
717,0.972826
718,0.972826
719,0.972826
720,0.972826
721,0.972826
722,0.972826
723,0.972826
724,0.972826
725,0.972826
726,0.972826
727,0.972826
728,0.972826
729,0.972826
730,0.972826
731,0.972826
732,0.972826
733,0.972826
734,0.972826
735,0.972826
736,0.972826
737,0.972826
738,0.972826
739,0.972826
740,0.972826
741,0.972826
742,0.972826
743,0.972826
744,0.972826
745,0.972826
746,0.972826
747,0.972826
748,0.972826
749,0.972826
750,0.972826
751,0.972826
752,0.972826
753,0.972826
754,0.972826
755,0.972826
756,0.972826
757,0.972826
758,0.972826
759,0.972826
760,0.972826
761,0.9894021
762,1.021739
763,1.021739
764,1.021739
765,1.021739
766,1.021739
767,1.021739
768,1.021739
769,1.021739
770,1.021739
771,1.021739
772,1.021739
773,1.021739
774,1.021739
775,1.021739
776,1.021739
777,1.021739
778,1.021739
779,1.021739
780,1.021739
781,1.021739
782,1.021739
783,1.021739
784,1.021739
785,1.021739
786,1.021739
787,1.021739
788,1.021739
789,1.021739
790,1.021739
791,1.021739
792,1.021739
793,1.021739
794,1.021739
795,1.021739
796,1.021739
797,1.021739
798,1.021739
799,1.021739
800,1.021739
801,1.021739
802,1.021739
803,1.021739
804,1.021739
805,1.021739
806,1.021739
807,1.021739
808,1.021739
809,1.0005434
810,0.85516315
811,0.853261
812,0.853261
813,0.853261
814,0.853261
815,0.853261
816,0.853261
817,0.853261
818,0.853261
819,0.853261
820,0.853261
821,0.853261
822,0.853261
823,1.1138588
824,1.7073369
825,0.9755431
826,0.961956
827,0.961956
828,0.961956
829,1.19782575
830,1.9570652
831,1.16413055
832,0.983696
833,0.983696
834,0.983696
835,0.983696
836,0.983696
837,0.983696
838,0.983696
839,0.983696
840,0.983696
841,0.983696
842,0.983696
843,0.983696
844,0.983696
845,0.983696
846,0.983696
847,0.983696
848,0.983696
849,0.983696
850,0.983696
851,0.983696
852,0.983696
853,0.983696
854,0.983696
855,0.983696
856,0.983696
857,0.983696
858,0.983696
859,0.983696
860,0.983696
861,0.983696
862,0.983696
863,0.983696
864,0.983696
865,0.983696
866,0.983696
867,0.983696
868,0.983696
869,0.983696
870,0.983696
871,0.983696
872,0.983696
873,0.983696
874,0.983696
875,0.95543505
876,0.39918475
877,0.2448369
878,-0.16114145
879,-0.368707579
880,-0.364131
881,-0.364131
882,-0.364131
883,-0.364131
884,-0.12038055
885,0.027174
886,0.027174
887,0.3073371
888,0.505435
889,0.505435
890,0.505435
891,0.505435
892,0.505435
893,0.505435
894,0.505435
895,0.505435
896,0.505435
897,0.505435
898,0.505435
899,0.505435
900,0.505435
901,0.505435
902,0.504862895
903,0.3203805
904,0.1127717
905,-0.016304
906,-0.016304
907,-0.016304
908,0.03342415
909,0.58858685
910,0.597826
911,0.597826
912,0.597826
913,0.597826
914,0.597826
915,0.597826
916,0.597826
917,0.5902173
918,0.565217
919,0.565217
920,0.565217
921,0.568363579
922,0.570652
923,0.570652
924,0.570652
925,0.570652
926,0.546052632
927,0.7467389
928,0.72690205
929,0.95896715
930,0.967391
931,0.967391
932,0.967391
933,0.967391
934,0.967391
935,0.967391
936,0.967391
937,0.967391
938,0.967391
939,0.967391
940,0.967391
941,0.967391
942,0.967391
943,0.967391
944,0.967391
945,0.967391
946,1.0206519
947,1.9934783
948,2
949,2
950,2
951,2
952,2
953,2
954,2
955,1.3625
956,0.54076105
957,0.586956
958,0.586956
959,0.586956
960,1.34402155
961,2
962,2
963,2
964,2
965,2
966,2
967,2
968,2
969,2
970,2
971,2
972,2
973,2
974,1.89375
975,0.99918485
976,0.978261
977,0.978261
978,0.978261
979,0.978261
980,0.978261
981,0.978261
982,0.978261
983,0.978261
984,0.978261
985,0.978261
986,0.978261
987,0.978261
988,0.978261
989,0.978261
990,0.978261
991,0.978261
992,0.978261
993,0.978261
994,0.978261
995,0.978261
996,0.978261
997,0.978261
998,0.978261
999,0.978261
1000,0.978261
1001,0.978261
1002,0.978261
1003,0.978261
1004,0.978261
1005,0.978261
1006,0.978261
1007,0.978261
1008,0.978261
1009,0.978261
1010,0.978261
1011,0.978261
1012,0.978261
1013,0.978261
1014,0.978261
1015,1.264016105
1016,2
1017,1.97336955
1018,1.11277155
1019,0.971109684
1020,0.972826
1021,0.972826
1022,0.972826
1023,0.972826
1024,0.972826
1025,0.972826
1026,0.972826
1027,0.972826
1028,0.972826
1029,0.972826
1030,0.972826
1031,0.972826
1032,0.972826
1033,0.972826
1034,0.972826
1035,0.972826
1036,0.972826
1037,0.972826
1038,0.972826
1039,0.972826
1040,0.972826
1041,0.972826
1042,0.972826
1043,0.972826
1044,0.972826
1045,0.972826
