index,constantparam,constantpval,opennessparam,opennesspval,conscientiousnessparam,conscientiousnesspval,extraversionparam,extraversionpval,agreeablenessparam,agreeablenesspval,neuroticismparam,neuroticismpval
mean,1.1372991894649496,3.5934618811089294e-06,0.3622073424821355,0.016889709897359544,-0.12106775354704466,0.41498952007796763,-0.24268854363903686,0.05889129175094912,0.030499526339429095,0.8243698240703351,-0.10923565661810863,0.5179402039783818
std,1.0915304147580547,3.1783550192801415e-12,-0.17581746488817687,0.5256936639131116,0.07236840573558079,0.732480107774728,0.11170744991732562,0.7427479358551297,0.10434908745990223,0.6331089263686998,-0.09596942528649097,0.6799457950806935
