pair,engagement by Utterance,engagement by Second,mean engagement by Utterance,mean engagement by Second,openness,conscientiousness,extraversion,agreeableness,neuroticism,openness difference,conscientiousness difference,extraversion difference,agreeableness difference,neuroticism difference
P099_P082,0.7643101421736159,0.7756874641888226,0.789074444893199,0.7755810352609608,0.15,1.0,0.34,0.1,0.87,,,,,
P099_P084,0.8305665567297874,0.7846364616027245,0.789074444893199,0.7755810352609608,0.15,1.0,0.34,0.1,0.87,-0.58,0.24,-0.52,-0.9,0.54
P030_P067,1.0545412437413302,1.0496316296891557,1.1060168986850007,1.0808163099908863,0.77,0.64,0.38,0.6,0.57,0.31,0.07999999999999996,-0.20999999999999996,0.5,0.039999999999999925
P030_P071,1.1046530241939885,1.0857627694397285,1.1060168986850007,1.0808163099908863,0.77,0.64,0.38,0.6,0.57,0.35000000000000003,0.32,-0.02999999999999997,0.09999999999999998,-0.13
P030_P114,1.0481538353735653,1.0379578431989063,1.1060168986850007,1.0808163099908863,0.77,0.64,0.38,0.6,0.57,0.27,0.4,-0.28,0.5499999999999999,-0.2300000000000001
P067_P030,1.045917054431652,1.0174959816243196,1.0915369255920215,1.0650181418515325,0.46,0.56,0.59,0.1,0.53,-0.31,-0.07999999999999996,0.20999999999999996,-0.5,-0.039999999999999925
P067_P071,1.0489018395794913,1.035237440106498,1.0915369255920215,1.0650181418515325,0.46,0.56,0.59,0.1,0.53,0.040000000000000036,0.24000000000000005,0.18,-0.4,-0.16999999999999993
P067_P114,1.046236840310711,1.0282368732826386,1.0915369255920215,1.0650181418515325,0.46,0.56,0.59,0.1,0.53,-0.03999999999999998,0.32000000000000006,-0.07000000000000006,0.05,-0.27
P071_P030,1.2583730896838452,1.205034516969147,1.2264100425657791,1.2083732000536216,0.42,0.32,0.41,0.5,0.7,-0.35000000000000003,-0.32,0.02999999999999997,-0.09999999999999998,0.13
P071_P067,1.1689006070598007,1.1273286552925943,1.2264100425657791,1.2083732000536216,0.42,0.32,0.41,0.5,0.7,-0.040000000000000036,-0.24000000000000005,-0.18,0.4,0.16999999999999993
P071_P114,1.1738649256788185,1.1537480363285109,1.2264100425657791,1.2083732000536216,0.42,0.32,0.41,0.5,0.7,-0.08000000000000002,0.08000000000000002,-0.25000000000000006,0.45,-0.10000000000000009
P114_P030,1.17339118592933,1.1162521099744374,1.2337323886765317,1.1795617370646139,0.5,0.24,0.66,0.05,0.8,-0.27,-0.4,0.28,-0.5499999999999999,0.2300000000000001
P114_P067,1.1606309244513933,1.1332015664970922,1.2337323886765317,1.1795617370646139,0.5,0.24,0.66,0.05,0.8,0.03999999999999998,-0.32000000000000006,0.07000000000000006,-0.05,0.27
P114_P071,1.212494544864073,1.1499230378845378,1.2337323886765317,1.1795617370646139,0.5,0.24,0.66,0.05,0.8,0.08000000000000002,-0.08000000000000002,0.25000000000000006,-0.45,0.10000000000000009
P092_P094,0.9697754685776943,0.956697816350302,1.1300949052758087,1.0766442804675551,0.62,0.64,0.86,0.55,0.43,0.39,0.64,0.62,-0.1499999999999999,-0.26999999999999996
P092_P096,1.063506895158526,1.0318053714933781,1.1300949052758087,1.0766442804675551,0.62,0.64,0.86,0.55,0.43,,,,,
