P034,P061,P153,P160
0.7306806353411307,0.560889231578947,0.5631011084795323,0.6685614039473685
0.8967390000000001,0.554348,0.9021740000000004,0.9402170000000001
0.8967390000000001,0.8628428421052632,1.0431384583333339,0.9906588187500001
1.005435,1.48541184210526,1.070652,1.027174
1.005435,1.417255325,1.070652,1.027174
1.482422861842105,0.946467525,1.070652,1.027174
1.035183210526315,0.9975688421052631,1.070652,1.027174
1.005435,1.005435,1.070652,1.62857552631579
1.0015734473684215,1.005435,1.06736252631579,1.996603275
0.996074944444445,1.005435,1.60411894736842,1.19402165
1.0,1.005435,1.0717962631579,1.043478
1.0,1.005435,1.7407751447368425,1.043478
1.0,1.005435,1.89130431578947,1.043478
1.0,1.005435,1.8238939649122798,1.043478
1.0,1.005435,1.043478,1.043478
1.0,1.005435,1.043478,1.043478
0.952747277777778,1.005435,1.043478,1.043478
0.940217,1.005435,1.043478,1.043478
0.940217,1.390875368421055,1.043478,1.043478
0.940217,2.0,1.043478,1.043478
0.940217,1.8865846842105252,1.043478,1.043478
0.940217,1.210426925438595,1.043478,1.043478
0.940217,1.021739,1.0706519999999997,1.0434780000000001
0.940217,1.021739,1.070652,1.043478
0.940217,1.021739,1.070652,1.043478
0.940217,1.021739,1.07216166666667,1.043478
1.610125736842105,1.021739,1.0701516184210527,1.043478
0.9870868496240602,0.9597088270676698,1.6669164193817887,1.0434780000000001
0.98913,0.918478,2.0,1.043478
0.98913,1.3849160526315796,1.03327598245614,1.2454708333333333
0.98913,1.2778175394736846,1.030391736842105,1.434103125
0.98913,0.956522,1.021739,2.0
0.98913,0.956522,1.021739,2.0
0.98913,0.956522,1.021739,2.0
0.98913,0.956522,1.021739,2.0
0.98913,0.956522,1.021739,1.318242338157895
0.98913,0.956522,1.021739,1.0074460299999999
1.36527442105263,1.02259747368421,1.021739,1.01087
1.36527442105263,1.02259747368421,1.021739,1.01087
1.360626360526315,1.0078661052631575,1.021739,1.01087
1.125965364473685,0.9825515,1.021739,1.01087
1.048913,1.065217,1.021739,1.01087
1.048913,1.0652170000000003,1.021739,1.01087
1.3628431842105249,1.065217,1.021739,1.01087
1.42691655263158,1.064215868421055,1.021739,1.01087
1.17448521052632,1.02536227777778,1.021739,1.4865562631579
1.1125092982456133,1.016304,1.021739,1.201349290350877
1.47010855,1.016304,1.021739,1.005435
1.0997430972222202,1.016304,1.021739,1.005435
1.038043,1.016304,1.81064073684211,1.005435
1.038043,1.016304,1.64812797222222,1.005435
1.038043,1.016304,1.059783,1.005435
1.038043,1.016304,1.059783,1.41619
1.038043,1.016304,1.059783,1.1253621833333334
1.038043,1.016304,1.059783,1.048913
1.038043,0.9432685964912286,1.059783,1.048913
1.038043,0.9510870000000009,1.059783,1.048913
1.038043,1.3097826315789503,1.059783,1.048913
1.038043,1.957522868421055,1.059783,1.048913
1.038043,1.5449958581871348,1.059783,1.048913
1.038043,1.5449958581871348,1.059783,1.048913
1.038043,1.0913343055555549,1.110698289473685,1.048913
1.038043,1.038043,1.7155798245614033,1.048913
1.038043,0.9945801222222226,1.96967963157895,1.048913
1.038043,1.285468868421055,1.08338092105263,1.048913
1.038043,1.55463373684211,1.021739,1.048913
1.038043,1.70523455263158,1.021739,1.048913
1.038043,1.48124995,1.021739,1.048913
1.038043,1.0394160105263162,1.021739,1.048913
1.038043,1.038043,1.021739,1.048913
1.038043,1.038043,1.021739,1.048913
1.038043,1.038043,1.021739,1.0449728
1.038043,1.038043,1.021739,1.0
1.0359644631578946,1.038043,1.021739,1.0126086200000002
0.967391000000001,1.038043,1.021739,1.09524445
0.967391000000001,1.038043,1.021739,1.7827517105263149
0.967391000000001,1.038043,1.404891210526315,1.059783
0.967391000000001,1.038043,1.93778605263158,1.059783
0.967391000000001,1.038043,1.6405414912280698,1.059783
0.9842674473684205,1.038043,1.0311781842105252,1.059783
1.023741368421055,1.038043,1.016304,1.059783
1.027174,1.038043,1.016304,1.1437503
1.027174,1.038043,1.016304,1.5422101166666666
1.4892733947368426,0.8948081710526316,1.016304,1.048913
1.9812641052631599,0.913043,1.016304,1.048913
1.994565,0.913043,1.016304,1.048913
1.3715674035087735,0.913043,1.016304,1.048913
1.5323226140350867,0.913043,1.016304,1.2553441833333334
1.7876144210526301,0.913043,1.016304,1.358559775
1.392591526315785,0.913043,1.016304,1.08532605
1.6541762105263151,1.33709942105263,1.016304,1.048913
1.52974826315789,1.39302042105263,1.016304,1.048913
1.6541762105263151,1.33709942105263,1.016304,1.048913
1.4064644473684251,1.1115560789473675,1.016304,1.048913
1.038901368421055,0.9492278684210524,1.016304,1.048913
1.043478,0.956522,1.016304,1.048913
1.043478,0.956522,1.016304,1.048913
1.043478,0.956522,1.016304,1.048913
1.6645451052631575,0.9298285153508772,1.016304,1.048913
2.0,0.9035641359649125,1.016304,1.048913
1.2330666315789478,0.918478,1.016304,1.8141847800000002
1.6254768771929868,0.918478,1.016304,1.5458333
1.742705947368425,0.918478,1.016304,1.01671185
1.9288710877192983,0.918478,1.016304,1.021739
1.31344607037037,0.918478,1.016304,1.7599637333333333
1.054348,0.918478,1.016304,2.0
1.054348,0.918478,1.016304,1.0504388947368433
1.054348,0.918478,1.016304,1.616847975
1.359124815789475,1.2309781052631559,1.016304,1.601902125
1.2489512631578967,1.1503620701754371,1.016304,1.4157607499999998
