P091,P106,P115
0.6634052545955881,0.7647871884594302,0.4160541778508772
1.055556,0.6262583770676693,0.5373483533834588
1.013398980392157,0.472826,0.538043
0.7758490084033617,0.12257125396825404,0.538043
1.083333,0.0850974736842107,0.891304
0.5676106993464051,1.4617658245614062,0.5703299592592593
0.55,1.6914902622807035,0.521739
0.55,1.9479405,0.521739
0.54774290625,1.977831789473685,0.526887947368421
0.5333330000000008,0.8741896140350871,0.7928582456140352
0.533333000000001,0.8631292631578945,1.4306349415204689
0.533333000000001,0.744565,1.983997555555555
0.533333000000001,0.7078802666666667,1.0054347368421037
0.533333000000001,0.25707953947368456,0.798912999999999
0.533333000000001,0.0815220000000001,1.2491418421052645
1.325925725490196,0.40560647368421066,1.68415860925926
1.924672970588235,0.7246854736842105,1.141812704678365
1.0388891764705868,1.3316172105263167,1.065217
1.016667,1.7908324078947375,1.065217
1.016667,1.9894736842105276,1.065217
1.016667,0.456522,1.689788315789475
1.016667,0.13680856929824578,2.0
1.016667,0.211956,2.0
1.016667,0.6597368107894738,1.9213100578947373
1.016667,1.968893013157895,1.3222966447368425
1.016667,2.0,1.038043
1.52989430952381,1.2591532982456133,1.038043
1.9824337746031766,1.7115751228070166,1.038043
1.988333233333335,2.0,1.038043
1.82661369047619,1.68020597368421,0.8802914736842105
0.9,0.75,0.8112843552631578
0.9,1.7716676315789475,0.945651999999999
1.604960107142855,1.2980550526315802,0.945651999999999
1.7213577571428564,1.0417621403508768,0.945651999999999
1.134523857142855,1.07494255263158,0.945651999999999
1.02420657142857,1.0717961842105275,0.8667046315789471
0.951361585982906,0.9945503375438602,0.857074340350877
0.8609285561904763,1.9557494210526323,0.8641300000000001
1.8114285238095233,1.04923969924812,0.8641300000000001
2.0,1.2924902907894733,0.86413
2.0,1.6344341894736825,0.86413
2.0,1.57875424736842,0.86413
2.0,1.2596537105263148,0.8761438684210529
1.98839267857143,1.4668905921052624,0.6188696666666668
1.982340964285715,1.890303184210525,0.565217
1.88968242857143,1.63300910526316,0.632065
1.8632935714285699,1.005435,0.782609000000001
2.0,1.005435,1.15911844444444
2.0,1.005435,1.49799768421053
2.0,1.005435,1.273884394736845
2.0,1.005435,1.273884394736845
1.1575430333333325,1.1085991618421052,0.9413614736842107
1.1035277539682544,1.8849669476608188,0.9565219999999999
1.055556,2.0,0.956522
1.72857153571429,1.221195475,0.956522
1.2034215793650833,1.75648352631579,0.97644950877193
1.38809528571429,1.94794047368421,1.01630452631579
1.038889,1.065217,1.131121136842104
1.0681548928571425,1.0584235789473675,1.070652
1.255556,1.013873052631579,1.070652
1.28890218452381,1.0473395131578949,1.070652
1.338518333333335,1.03818602631579,1.070652
1.071074395833334,1.038043,1.070652
1.044444,1.2796049210526301,1.5062928245614
1.107221833333335,1.5509151578947349,1.45123000877193
1.232221833333335,1.2984837368421052,0.9835526315789496
2.0,1.15516275,1.55132833333333
1.87182542857143,1.315424638157895,1.2912533508771902
1.0774074,1.021739,1.021739
1.79777772142857,1.021739,1.021739
2.0,1.021739,1.021739
2.0,1.021739,1.021739
2.0,1.021739,1.021739
1.076190452380954,1.0229165333333332,1.021739
0.983333,1.0252716,1.021739
0.983333,1.043478,1.436641815789475
0.983333,1.043478,1.020309236842105
1.01534419047619,1.0426198421052633,1.0221207017543867
1.029960607142855,1.0394732631578951,1.251430210526315
1.96071425,1.56550342105263,1.19179052631579
1.96071425,1.56550342105263,1.19179052631579
1.96071425,1.5921053157894751,1.02202505263158
1.580448681318685,1.38629857894737,1.021739
1.1135651214285724,1.8314537467105252,1.1695349166666675
1.055556,1.80549184210526,1.61292266666667
1.19404759761905,1.0662188947368398,1.4347825789473698
1.29444426666667,1.059783,1.50800910526316
1.63670625,1.059783,1.43807197368421
1.316667,1.789759789473685,1.032609
1.316667,1.610039965789473,1.05062957894737
1.316667,1.394736736842105,1.376970646198835
1.316667,1.4841723684210535,1.2631367290448365
1.316667,1.5073037149122834,1.0660756140350867
1.26785735714286,1.0286042631579,1.081522
1.26785735714286,1.0286042631579,1.081522
1.016667,1.097826,1.081522
1.0167331309523817,1.09892249122807,1.0815219999999999
1.08025601746032,1.68487792982456,1.4676631666666669
1.2471960059523823,1.8846538815789475,1.7619315065789474
1.38253987857143,1.794193342105265,1.8631292631578948
1.9934567888888883,1.1351902666666667,1.0102498070175434
2.0,1.4449728833333348,1.0
1.9915343809523798,1.21264295906433,1.07418
1.9915343809523798,1.21264295906433,1.07418
1.1515875,1.070652,1.91647589473684
1.1285717499999999,1.064538025,1.89259142105263
1.105556,1.446510263157895,1.16347234210526
1.0912702380952366,1.0777078771929833,1.8597443859649099
1.055556,1.076087,2.0
1.0555559999999997,1.0760869999999998,2.0
1.055556,1.076087,1.67219673684211
1.055556,1.076087,1.80291768421053
1.0555559999999997,1.8436999482456142,1.1115320043859651
1.055556,1.9751143947368401,1.205520368421055
1.055556,1.8689931228070167,1.46777254385965
1.055556,1.8689931228070167,1.46777254385965
1.055556,1.081522,1.8621175740740732
1.055556,1.081522,1.9399313508771934
1.055556,1.081522,1.351419005555555
1.5631483333333351,1.081522,1.2535755789473702
1.18296326666667,1.081522,1.027174
1.9905555666666668,1.0815219999999999,1.1131289210526318
2.0,1.4842678684210524,1.038043
2.0,1.2237656541353403,1.038043
2.0,1.065217,1.038043
2.0,1.065217,1.038043
2.0,1.0652170000000003,1.1364865578947367
2.0,1.065217,1.3333736736842101
2.0,1.29786392982456,1.065217
1.8171918947368433,1.4584287543859633,1.6106978245614032
1.1039765964912267,1.081522,1.1171817894736835
1.077778,1.081522,1.081522
1.077778,1.08209407894737,1.0370775555555556
1.077778,1.081522,1.081522
1.04774321875,1.0680776578947349,1.10928129722222
0.982318992063492,1.070652,1.092391
1.032819,1.070652,1.092391
1.038889,1.2261848270676698,1.092391
1.038889,1.5695078684210548,1.092391
1.038889,1.038043,1.10054327777778
1.038889,1.14788289473684,1.130435
1.038889,1.45287722417154,1.2791761929824534
1.0753595176470578,1.081280155555556,1.2298626631578942
1.35702617647059,1.048913,1.5326087368421049
1.69988736764706,1.4080138763157901,1.6728642105263134
1.7394987601102951,1.7474434861842099,1.26637567105263
1.9598036764705902,1.434210578947365,1.016304
1.416764397058824,1.005435,1.016304
1.033333,1.005435,1.016304
1.033333,1.01258589473684,1.0997329122807031
1.033333,1.8424336998050699,1.016304
1.033333,1.3167429473684233,1.0261247543859635
1.033333,1.027174,1.320795026315785
1.08680525,1.027174,1.28975989473684
1.9956426584967302,1.367848921052635,0.983696
1.7433449930555551,1.3980261842105302,0.983696
1.1871391446078432,1.5331330684210531,1.0312741929824567
1.269597716911765,1.38258005263158,1.017019789473685
1.026797211764706,1.2345826094736838,1.0578951157894738
1.022222,1.01087,1.059783
1.022222,1.01087,1.69107563157895
1.022222,1.01087,1.08852960526316
1.022222,1.01087,1.043478
1.022222,1.01087,1.043478
1.022222,1.01087,1.043478
1.022222,1.04498827777778,1.043478
1.0222219999999997,1.8979227377777783,1.0434780000000001
1.1572363809523816,2.0,1.0434780000000001
1.022222,2.0,1.043478
1.6336805,2.0,1.043478
1.671241705882355,1.96495997368421,1.2914758684210499
1.34248341176471,1.92991994736842,1.46796336842105
1.229748580882355,1.53875860526316,1.5287471052631552
1.0595733928571427,1.0436415263157899,1.94136154887218
1.05,1.038043,2.0
1.05,1.038043,2.0
1.05,1.038043,2.0
1.1719253703208568,1.831313655502393,1.1462706602870818
1.066667,2.0,1.038043
1.9605724,1.0225451244019137,1.038043
2.0,1.021739,1.038043
1.4854213054945062,1.5989701894736839,1.038043
1.04059838461539,1.99399315789474,1.038043
1.038889,1.1570364473684198,1.038043
1.038889,1.6720537105263151,1.038043
1.10074113333333,1.016304,1.038043
1.86730775,1.016304,1.65124419736842
1.7346154999999999,1.016304,1.71596102631579
2.0,1.016304,1.160898263157895
1.2519707613814757,1.0486267462406016,1.9543560075187971
