indices,,_open,_closed
TPL,"['measurement', 'measurement per participant', 'measurement no tutor']","['measurement', 'measurement per participant', 'measurement no tutor', 'measurement per participant no tutor']",[]
TP,"['measurement', 'measurement per participant', 'measurement no tutor']","['measurement', 'measurement per participant', 'measurement no tutor', 'measurement per participant no tutor']",[]
PL,"['measurement', 'measurement per participant', 'measurement no tutor']","['measurement', 'measurement per participant', 'measurement no tutor', 'measurement per participant no tutor']",[]
T,"['measurement', 'measurement per participant', 'measurement no tutor']","['measurement', 'measurement per participant', 'measurement no tutor']",[]
P,[],[],[]
L,"['measurement', 'measurement per participant', 'measurement no tutor']","['measurement', 'measurement per participant', 'measurement no tutor']",[]
