indices,,_open,_closed
TPL,[],['measurement'],[]
TP,[],['measurement'],[]
PL,['measurement'],['measurement'],[]
T,['measurement'],['measurement'],[]
P,[],[],[]
L,['measurement'],['measurement'],[]
